,A01,A21,A22,A23,A24,A41,A42,A43,A44,A45,A46,A47,A61,A62,A63,A99,B01,B02,B03,B04,B05,B06,B07,B08,B09,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,B33,B41,B42,B43,B44,B60,B61,B62,B63,B64,B65,B66,B67,B68,B81,B82,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C21,C22,C23,C25,C30,C40,D01,D02,D03,D04,D05,D06,D07,D10,D21,E01,E02,E03,E04,E05,E06,E21,F01,F02,F03,F04,F05,F15,F16,F17,F21,F22,F23,F24,F25,F26,F27,F28,F41,F42,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G16,G21,H01,H02,H03,H04,H05,H10,Y02,Y04,Y10
F26,4,6,0,29,5,0,0,0,0,1,0,11,14,0,0,0,79,3,0,6,18,0,0,12,10,1,3,1,2,0,0,7,9,23,6,2,1,0,13,0,0,0,0,0,0,0,0,32,0,0,0,1,1,4,11,3,8,9,1,4,6,6,16,10,4,0,3,4,3,9,2,0,0,1,3,0,0,0,24,0,0,51,3,0,0,5,0,1,1,1,0,0,0,0,0,8,1,4,0,20,12,3,409,32,14,0,0,3,1,5,0,4,0,0,0,0,0,4,0,0,0,10,1,0,1,14,0,59,0,24
F27,0,2,0,0,1,0,0,0,0,0,0,1,3,3,0,0,45,1,1,8,7,0,4,3,5,12,65,5,0,1,0,0,14,3,3,0,2,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,1,6,1,40,131,0,0,2,2,3,25,0,0,0,0,304,83,18,3,4,0,4,0,0,1,0,0,0,0,1,0,0,0,6,0,0,1,4,1,0,2,0,0,25,0,0,6,67,3,2,32,823,35,0,2,6,2,1,0,0,0,0,0,0,0,0,0,0,3,9,2,0,1,81,0,212,0,91
F28,7,3,0,26,0,2,0,2,1,0,0,9,14,0,0,1,211,0,1,5,11,0,1,22,0,113,13,76,3,2,0,1,2,43,3,3,7,2,1,0,0,0,75,1,0,2,14,7,0,0,0,0,0,28,10,9,16,0,0,14,12,38,29,2,1,2,0,9,20,23,4,2,2,1,0,0,3,0,4,0,0,18,0,1,0,9,1,2,4,93,45,5,17,15,4,79,9,1,90,67,189,165,14,35,1641,0,2,12,2,1,0,9,4,0,0,1,1,2,4,0,19,61,6,0,0,27,3,371,0,469
F41,5,0,1,1,1,13,10,2,0,4,0,1,6,2,12,0,1,0,0,0,5,1,0,0,0,1,2,1,0,3,1,0,0,7,0,1,39,0,1,0,0,0,16,0,5,11,21,10,1,0,0,0,0,0,0,0,4,0,0,1,4,0,0,1,1,0,0,1,2,1,1,0,0,0,2,4,4,0,4,1,4,0,0,5,0,2,5,0,1,1,3,0,0,1,2,22,2,4,0,0,1,1,0,0,0,479,79,72,44,2,0,10,7,2,5,4,3,0,2,0,0,18,0,2,8,2,0,13,0,90
F42,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,1,1,3,3,8,6,1,4,3,0,0,4,0,0,2,0,1,0,0,0,39,0,3,6,32,14,0,0,0,0,0,1,1,0,1,0,42,0,8,1,1,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,0,0,3,1,1,4,0,0,18,2,22,0,0,0,4,12,2,2,0,4,3,0,0,2,2,79,389,21,5,0,0,1,1,2,3,1,2,1,1,0,1,19,2,1,0,7,1,7,2,41
G01,160,9,6,18,10,3,2,7,2,3,1,54,1508,5,34,0,787,2,47,33,66,46,60,14,1,45,33,156,26,47,13,7,8,128,11,2,26,8,118,1,6,5,444,42,67,29,50,245,40,61,0,48,218,28,22,37,37,3,1,999,101,81,20,9,1119,3,0,28,9,44,32,11,98,20,10,10,7,5,31,6,2,29,14,28,18,12,14,5,110,57,221,4,59,11,49,342,48,12,12,16,32,59,3,6,12,72,21,12531,407,137,36,303,599,188,413,112,144,210,52,25,121,1040,335,400,482,208,207,480,27,2810
G02,13,0,0,2,0,7,7,0,5,3,2,4,231,0,10,0,32,0,0,0,29,0,1,8,0,9,3,74,23,6,2,0,3,221,0,0,81,3,95,16,3,14,67,0,1,2,15,35,6,1,0,7,104,17,2,269,10,0,0,98,382,321,8,2,17,0,0,2,6,62,10,24,2,16,2,2,3,1,12,6,3,3,12,3,6,5,3,19,5,3,3,1,1,1,0,58,2,133,1,0,25,3,1,2,2,44,5,407,4360,342,12,11,121,16,19,272,2,112,8,0,4,644,110,15,573,89,184,95,1,766
G03,4,0,0,6,0,1,0,0,0,1,1,3,67,1,7,0,55,2,3,0,95,1,7,12,0,2,3,43,13,4,9,0,1,90,2,1,53,26,495,67,3,22,4,0,0,0,2,258,0,2,0,2,83,33,12,26,9,1,0,386,582,363,3,22,6,0,0,1,4,44,14,2,5,1,0,0,1,0,15,0,0,31,0,0,0,0,1,1,1,0,6,1,0,0,2,40,1,26,0,0,2,1,5,1,1,2,0,137,342,4473,5,25,138,22,6,42,1,102,2,3,30,403,23,3,374,218,43,43,0,1473
G04,1,0,0,1,1,0,0,0,22,0,0,0,8,0,3,0,0,0,0,0,0,1,0,0,0,1,0,1,2,0,0,0,0,2,0,0,1,0,2,1,0,1,1,0,1,4,1,1,0,0,0,2,0,0,1,2,4,0,0,0,0,0,1,0,1,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5,0,2,0,0,7,0,0,0,0,0,0,36,12,5,376,16,15,15,11,17,4,8,1,0,0,41,47,20,32,8,4,20,1,29
G05,45,3,1,1,0,2,0,4,0,5,0,29,90,5,27,0,68,1,1,2,23,4,2,7,0,27,14,167,27,129,10,3,3,89,7,1,3,9,20,0,0,8,279,9,36,13,60,38,27,13,0,0,1,5,17,20,3,1,1,5,6,1,1,0,2,1,3,6,0,13,1,0,1,4,0,4,1,13,26,0,0,11,5,17,25,2,19,9,6,43,97,4,42,4,55,222,27,2,4,23,139,70,4,0,9,10,1,303,11,25,16,2939,214,20,51,15,5,79,1,12,10,170,200,103,73,87,36,430,27,663
