cpc_1,cpc_2,convergence_prob,actually_converged,jaccard_cutoff,jaccard_target,convergence_type
A61M,A61L,0.0021,0,0.037411,0.042932,SYM
H01R,H02K,0.0021,0,0.032339,0.025413,SYM
F16F,F16D,0.0021,0,0.032034,0.033786,SYM
C08F,G03F,0.0021,0,0.033318,0.029792,ASYM
D10B,D04B,0.0021,0,0.307301,0.295699,ASYM
H01H,H01R,0.0021,0,0.046827,0.039252,SYM
B64D,B60N,0.0021,0,0.05638,0.055728,SYM
H05B,F24C,0.0021,0,0.055344,0.058318,GPT
H01R,B60R,0.0021,0,0.010164,0.014906,ASYM
H02K,F16C,0.0021,0,0.03783,0.032194,SYM
F15B,E02F,0.002,0,0.090271,0.118052,SYM
A61Q,C11D,0.002,0,0.06516,0.069031,ASYM
C07D,C07K,0.002,0,0.012277,0.018001,SYM
G11C,H03K,0.002,0,0.061916,0.041603,SYM
B60R,B60Q,0.002,0,0.046548,0.038295,GPT
B60J,B60R,0.002,0,0.043421,0.035291,GPT
B65H,G03G,0.002,0,0.041935,0.05444,ASYM
G01R,G06F,0.002,0,0.013327,0.01466,GPT
A61K,A61P,0.002,0,0.571194,0.642104,SYM
B29C,B29K,0.002,0,0.356276,0.36178,ASYM
B21J,B21K,0.002,0,0.221212,0.217726,SYM
H01L,B23K,0.002,0,0.021209,0.025157,ASYM
A61P,G01N,0.002,0,0.055181,0.060148,ASYM
A61K,B01J,0.0019,0,0.006673,0.006765,GPT
F16K,G05D,0.0019,0,0.047391,0.057527,SYM
C08G,C09K,0.0019,0,0.044876,0.046512,ASYM
C12N,C12R,0.0019,0,0.053855,0.055258,GPT
C07C,C07F,0.0019,0,0.077109,0.074088,ASYM
G01S,G01C,0.0019,0,0.078311,0.086815,SYM
H10K,C09K,0.0019,0,0.143708,0.168421,ASYM
C09D,B05D,0.0019,0,0.051879,0.081262,GPT
B62D,F16C,0.0019,0,0.019505,0.020856,SYM
B29K,B29B,0.0019,0,0.143572,0.132119,ASYM
F16F,F16C,0.0019,0,0.025678,0.029223,SYM
B01J,C40B,0.0019,0,0.052008,0.01834,GPT
G06Q,H04M,0.0019,0,0.049602,0.046751,ASYM
G07D,G07F,0.0019,0,0.121535,0.081008,ASYM
G09G,H04N,0.0019,0,0.047142,0.056148,GPT
B65D,B29C,0.0019,0,0.052053,0.043328,ASYM
A01D,A01F,0.0019,0,0.219277,0.235378,ASYM
B81B,B81C,0.0019,0,0.405213,0.448855,SYM
A61N,A61F,0.0019,0,0.022697,0.029507,ASYM
B60K,F16D,0.0018,0,0.04036,0.034888,ASYM
A61B,G06V,0.0018,0,0.015462,0.012977,GPT
E05B,E05C,0.0018,0,0.397603,0.391057,ASYM
B60K,B60L,0.0018,0,0.235198,0.166156,ASYM
F02M,F04B,0.0018,0,0.043282,0.038565,ASYM
F16K,F02M,0.0018,0,0.03936,0.047128,SYM
E05Y,E06B,0.0018,0,0.072883,0.089602,ASYM
D04H,D01F,0.0018,0,0.113312,0.112296,SYM
C07D,G01N,0.0018,0,0.008175,0.013541,SYM
H01L,G01R,0.0017,0,0.022175,0.012187,GPT
H04R,H04S,0.0017,0,0.172825,0.183815,ASYM
G01N,B01D,0.0017,0,0.02099,0.022447,ASYM
C23C,C04B,0.0017,0,0.037468,0.033397,SYM
A01B,A01D,0.0017,0,0.151685,0.147561,SYM
G01N,G01F,0.0017,0,0.013867,0.017497,GPT
A61F,D04H,0.0017,0,0.024913,0.022854,GPT
C09K,C04B,0.0017,0,0.045911,0.040007,SYM
F21V,F21Y,0.0017,0,0.484022,0.645338,SYM
B60R,G07C,0.0017,0,0.05275,0.042652,GPT
H04R,H04M,0.0017,0,0.039188,0.040535,GPT
G09G,G02F,0.0017,0,0.077869,0.094796,SYM
H04B,H04M,0.0016,0,0.0836,0.071267,SYM
H04L,H03M,0.0016,0,0.029904,0.02972,GPT
H04L,G05B,0.0016,0,0.010535,0.015436,GPT
B01J,B01F,0.0016,0,0.046404,0.03008,GPT
F16L,B32B,0.0016,0,0.0283,0.025765,ASYM
A61K,C11D,0.0016,0,0.014511,0.014405,GPT
B62K,B62M,0.0016,0,0.248462,0.208658,ASYM
H05K,B60R,0.0016,0,0.011488,0.014159,SYM
